0,1,2,3,4,idx,SampleID,Class
7.288007437969026,-2.7793106428625443,1.8773260425648963,5.855866935464101,5.088414856677819,0,Area: 04_2nd_extr_After-8_20201022_FS_Disc_Pos_01.raw (F3),After
5.612893820321568,1.389054153625219,1.6433427360922228,3.81447546318096,4.3522101425224795,1,Area: 05_2nd_extr_After-4_20201022_FS_Disc_Pos_01.raw (F4),After
6.821969377511178,-0.8926101107212578,-0.5831936123060872,4.830098506549698,-3.924292871713332,2,Area: 06_1st_extr_After-4_Extract20200917_FS_Disc_Pos_01.raw (F5),After
7.2552221170580165,-1.1074281937775756,1.8471585265299462,7.579001793858323,7.153203660684749,3,Area: 08_2nd_extr_After-5_20201022_FS_Disc_Pos_01.raw (F7),After
6.698282793602286,0.8507259994312057,-0.09790553950432823,17.037547743734855,-1.394082117682049,4,Area: 10_1st_extr_After-2_Extract20200917_FS_Disc_Pos_01.raw (F9),After
6.317976377847249,-1.5473603321194287,0.2020365057882333,8.343277101506223,-3.022322664932492,5,Area: 12_1st_extr_After-12_Extract20200917_FS_Disc_Pos_01.raw (F11),After
4.103907155478147,-1.751752434089067,1.9305873169363816,6.310232819798717,2.7374046656551956,6,Area: 14_1st_extr_After-11_Extract20200917_FS_Disc_Pos_01.raw (F13),After
6.215218010161237,-2.70118342344352,1.0434121288044071,3.0620426270802215,6.583735065406746,7,Area: 16_2nd_extr_After-17_20201022_FS_Disc_Pos_01.raw (F15),After
5.035953756233786,0.8847427072502918,1.671791444514795,13.534153861632209,2.5897579248581906,8,Area: 17_2nd_extr_After-20_20201022_FS_Disc_Pos_01.raw (F16),After
7.3923776678743405,-0.6319675948390893,1.1615346859715117,6.867319315010605,8.045627342488196,9,Area: 18_1st_extr_After-7_Extract20200917_FS_Disc_Pos_01.raw (F17),After
7.436815407997935,-1.485608358246282,-0.655917582574606,3.516590422360791,0.5887249620308799,10,Area: 19_2nd_extr_After-15_20201022_FS_Disc_Pos_01.raw (F18),After
5.318088709152505,-0.7695139695340782,0.8828449984722384,8.668485598526672,0.05393991085730221,11,Area: 24_1st_extr_After-1_Extract20200917_FS_Disc_Pos_01.raw (F23),After
4.5890113066099465,-1.1451169504174192,0.5849268059569193,7.476479489740946,5.013932636269549,12,Area: 30_2nd_extr_After-7_20201022_FS_Disc_Pos_01.raw (F29),After
5.7668680983121074,-1.6246396638324683,-0.6561040693189804,3.800334963019529,7.771259037508186,13,Area: 31_2nd_extr_After-19_20201022_FS_Disc_Pos_01.raw (F30),After
7.521062753611194,-1.716061402628461,1.5253195468328784,9.161058504541403,2.8601443486149662,14,Area: 40_2nd_extr_After-13_20201022_FS_Disc_Pos_01.raw (F40),After
5.3344936766614826,1.0239682371926189,0.8256239313894645,4.448200281394702,5.287293624614624,15,Area: 41_1st_extr_After-8_Extract20200917_FS_Disc_Pos_01.raw (F41),After
5.914385701390163,-1.907037849193171,0.5114970037751088,2.098283185707901,6.365193175746061,16,Area: 49_1st_extr_After-5_Extract20200917_FS_Disc_Pos_01.raw (F49),After
5.463049043666203,-1.1252990469501911,0.7498801636934027,6.542126767374815,7.936760107909932,17,Area: 50_1st_extr_After-9_Extract20200917_FS_Disc_Pos_01.raw (F50),After
6.125479246080433,-1.0632457930540313,2.6024664465793563,2.4563317998470025,4.588641218062065,18,Area: 52_2nd_extr_After-14_20201022_FS_Disc_Pos_01.raw (F52),After
7.510019665246764,-3.1195375542073194,1.0119423231018185,9.660710858325778,6.696294130481208,19,Area: 54_2nd_extr_After-6_20201022_FS_Disc_Pos_01.raw (F54),After
5.853611989440443,0.40383466694515335,2.8425822343526947,9.714091728268539,13.602587047447807,20,Area: 57_1st_extr_After-3_Extract20200917_FS_Disc_Pos_01.raw (F57),After
6.417276421841124,-2.418432402818822,-0.7299568600073456,7.160450524423809,7.305525777585424,21,Area: 59_2nd_extr_After-1_20201022_FS_Disc_Pos_01.raw (F59),After
4.168283549358397,1.2397067325900504,1.3937510435501492,8.214525756404793,14.262600719165428,22,Area: 62_2nd_extr_After-9_20201022_FS_Disc_Pos_01.raw (F62),After
4.919337713025099,-1.2277236012160642,-1.6692230385845748,6.084171529789074,1.1471928618056122,23,Area: 63_2nd_extr_After-2_20201022_FS_Disc_Pos_01.raw (F63),After
5.80285628293714,-0.10904992536647207,2.8264397988263816,8.790023469613667,6.307518305156325,24,Area: 64_1st_extr_After-6_Extract20200917_FS_Disc_Pos_01.raw (F64),After
6.981685177646111,-1.7733853028725113,0.7990586866721288,3.520514845467479,6.533043430717346,25,Area: 69_2nd_extr_After-18_20201022_FS_Disc_Pos_01.raw (F69),After
5.27904529643419,-0.40794512443084674,1.0710121755004978,5.499137661349319,11.030936977166196,26,Area: 70_2nd_extr_After-12_20201022_FS_Disc_Pos_01.raw (F70),After
7.500849620632172,-1.8444652203525898,1.441737316120613,2.9493543955405244,-4.44008163789181,27,Area: 72_2nd_extr_After-3_20201022_FS_Disc_Pos_01.raw (F72),After
6.707998369480437,-1.0697753005258175,1.0568130448152064,7.278758751835317,7.3981579296889635,28,Area: 73_2nd_extr_After-11_20201022_FS_Disc_Pos_01.raw (F73),After
5.610523057295904,-1.130725910937244,1.2684291330589537,2.0132078703160707,-2.7191896528739896,29,Area: 75_1st_extr_After-10_Extract20200917_FS_Disc_Pos_01.raw (F75),After
6.426032054935086,0.70912184374969,1.7531745879944762,-1.75638757718641,0.06424752297553926,30,Area: 76_2nd_extr_After-16_20201022_FS_Disc_Pos_01.raw (F76),After
