,idx,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64,M65,M66,M67,M68,M69,M70,M71,M72,M73,M74,M75,M76,M77,M78,M79,M80,M81,M82,M83,M84,M85,M86,M87,M88,M89,M90,M91,M92,M93,M94,M95,M96,M97,M98
10,10,9529550483.38006,44369071.0003763,1673255968.86396,932549548.063473,1295957307.94941,3870759835.27016,948252699.485686,138347666.855639,143095822.777253,164189373.224914,208949034.449524,138142775.729047,63291356.3518273,182366328.81477,1221125664.53702,143734234.850874,271218963.653838,1033426867.20612,702278994.889792,86104172.4727143,319228081.542779,450440938.487112,428752676.988825,108655695.15348,1213256793.1672,81933557.0277729,703048.580285647,149237920.924847,1174504380.63122,1138270396.07947,405174539.178231,101526500.339554,78112050.2683915,166107862.601766,118203682.70839,3153753.68959254,450440938.487112,938566907.639733,460341875.057926,64953746.9861718,90203237.7175839,94883579.685544,519241540.507185,123818359.192416,399780051.468534,140900074.51219,451771628.384901,507945668.435524,565252477.577343,21396369.7176316,21796825.7545151,450440938.487112,283139948.196628,1836562.57797568,82625512.7340173,172554806.931499,163721716.704478,381341841.834963,806190768.270323,432413052.284121,93839877.395753,532258853.163588,47746289.2075199,419675226.071582,33162116.176548,77223524.2389686,206311289.461748,4968398.25080128,2348252.17163687,82406276.5810025,403788739.198281,1012475.01326932,71182147.2590119,95382024.2906277,55676442.8096345,714238321.970453,237006121.038458,200867875.707106,231009413.232289,343928910.227995,146930600.172178,314988515.260144,89900063.9538715,39716400.2260957,99624612.0309232,191850732.669194,44733495.7947721,234563552.963083,109819424.405749,41469587.1691498,185443957.78716,180330565.285562,1041295.589403,141475233.14812,407472565.263831,187635670.635839,457301513.51976,387753443.116289,175689007.041337
11,11,30304615468.5827,255047288.792652,1259908896.76398,735272244.657196,1112530887.12188,2059475152.28572,919151611.794408,266025032.752506,271475454.97051,922581960.633572,109481936.915486,104089671.387849,104089671.387849,278906160.484817,1397285513.55322,205906452.651396,254890972.67621,213786914.316509,562148513.766272,236641990.226712,536387846.619404,623454050.214773,288269109.912028,463382565.814162,1036391535.83568,145735910.392749,1323845.71093179,807525337.797582,1099211505.74817,991484115.77878,625125068.594967,776089996.559738,69583598.0337399,392310128.932897,630575499.480657,9051528.02681278,623454050.214773,819159428.350421,848791486.817488,132417172.717156,682395444.651329,731743686.644087,622630174.153801,624499153.19243,235799618.624942,164889494.197819,538019932.720174,569866537.896422,272986523.72909,102213715.192844,210444465.745423,668750601.933062,388996167.878066,3229276.54852435,497868819.170779,535384425.91284,539784056.99471,440563971.407012,759694658.496634,219094881.31518,116735807.310478,249780779.811621,53803568.1464993,678830994.986667,215107743.985986,447039698.433167,215581124.389341,15122129.7665253,1610384.96794278,422739523.208754,163612423.008294,364995.431408409,539784056.99471,670410254.613167,176119684.522841,451652014.423397,92060998.0234702,96133193.7592849,60600256.650938,271740591.468486,168603013.001003,247858926.559623,177943677.722496,163653847.330376,410297128.834251,340873220.146039,115259901.18271,192990321.644759,24359518.0123992,106810751.338965,137694052.96169,364418252.713699,303266.385567436,155255855.234081,196019534.224458,101604639.210103,570937787.176976,189278645.157073,252064720.809522
12,12,17712066822.5004,3454371572.11252,1750595373.91913,916650835.382061,1477847220.88515,4153219287.44848,857237183.855314,169949528.443726,173442901.861519,821104932.582166,224863224.694987,62501339.7801627,62501339.7801627,90998132.9397275,973095739.586309,56923298.3808393,604106918.239911,1429027902.66503,728141372.433775,78511118.2120948,708110556.746093,604306408.42552,329623012.661944,1151653635.13893,1182081554.16918,63839333.6874384,909591.410356682,423398151.766368,1145464645.08034,1126183877.86485,1123818384.02146,291881240.205713,119218374.027353,1534799432.48216,1514518130.9652,10037259.913575,604306408.42552,938730748.670674,735120927.119221,85243119.61088,256180942.988281,306846402.71075,442283612.327936,338994101.05397,224670019.016057,244728442.066138,301168684.971452,285725650.46979,496840196.679852,59351804.7363096,78442871.5727575,733853807.113859,248223067.14355,5466257.85092997,259724524.181789,254552820.073227,534940829.888716,319407914.526865,658247751.364699,370399795.901209,137081960.383057,616020212.801996,21869057.089131,420490555.938392,452108468.597655,289835453.555085,170304031.06014,12750039.7669256,10505481.9435205,157429288.966858,308692370.663766,315527.900544901,287680524.750358,216229729.36222,391553132.11595,824891959.776755,61193942.898085,173862400.09508,49890444.9727126,309919801.222082,139240077.902475,283726414.879465,90174778.2569932,90326741.4651265,384492956.325436,253360417.47807,130798877.264856,163440164.488597,32129099.8483814,121522642.322236,133279110.750639,377210077.498428,2156417.24384841,366962024.853737,457480895.834266,264021950.813128,561312273.2482,439071474.732687,160683375.064379
13,13,16361648344.0828,3343099969.40933,1665880922.98476,1125529544.4823,1366568294.35097,3925625762.588,469792813.512159,200317176.134029,204368700.643984,138389108.213961,295036161.490211,286269775.59067,11645066.8049402,208500206.207623,952070801.011155,170830887.459526,524666768.440033,1218621266.51238,251682598.339143,322693255.670223,326328756.647388,837977730.246122,355133521.484586,678568259.655288,1078295983.70684,115356876.895733,749661.782075664,133178375.395675,1003850224.81728,1042044783.02415,340231950.333326,124555605.387889,157354983.803094,589670438.953578,442757907.569989,2143422.51112172,509611204.929479,860996789.950942,476185987.102105,90096222.5887222,113689663.177621,121931424.975485,397512549.936278,132923888.81223,584944151.67155,193381404.185797,558763765.179133,279164539.565564,436939069.837331,25556591.0282949,124550661.436657,474581467.89158,250894358.474648,2128721.92682968,68611023.8173855,93477702.5673559,185729558.128246,301515821.434126,629950362.055725,534113727.591719,62616713.5517122,545197768.831826,19757511.2302713,342420689.472962,277887955.069557,74947969.3405313,9573237.17816474,6504366.57270798,4116268.55230264,51587495.3799899,272141564.51302,310485.764650222,71129410.8235316,192033851.381132,235435014.941743,787558371.724366,78137711.7828825,170411768.557166,86219023.6650657,281385082.63943,117889431.772006,254905377.137038,87577861.5019021,36065592.4941093,17247483.1223194,220201830.963852,59408887.7871907,178718513.962485,35226988.4015574,54435039.3758292,144081568.12951,313199691.359073,2166874.42612257,313894218.975949,432109267.562813,236470471.253824,401118015.839744,418552134.78957,158786905.156478
14,14,10303751174.7107,74720491.309039,2955065209.00865,1804131027.96693,2431053919.5374,5970093663.86707,2328296224.48141,201300499.416504,204955874.490573,227848213.941776,308176322.484376,127273966.733605,164852458.965528,238985286.176765,2084548175.2461,206700758.088382,194948680.989588,1728514336.96446,290607763.093826,27555066.8185993,593859300.810491,276081146.056426,631938144.153788,70669064.8841483,2504934863.93504,129394548.991645,1113804.31648574,137198599.436133,732245868.608969,2263874768.16026,358643060.764803,67066999.6641169,72407837.8117816,407715388.787281,219454742.623294,30435208.0768054,334005625.679246,1869188820.81587,425650655.941561,61923989.3135328,66593533.1790802,70252076.508478,1257840738.95371,141289231.67459,64197627.036071,566146129.31308,65589091.2996831,1312119349.09443,1110001052.58814,27365692.1630404,150040086.563427,322067230.764591,236151484.885847,28113373.527063,79276270.3247274,70298595.3011947,135991432.582215,847493967.375953,1328429752.7333,1230526373.90077,48909814.1786899,824654333.991478,103205388.264393,380216658.329784,28834104.2762552,71152614.4035661,1223985851.64173,6795839.90604619,14946309.3320962,41688796.7741707,823176287.692417,731622.060694317,52146600.9425894,110532234.596963,26088144.1346809,772689701.990265,1028291414.5602,492770270.770211,1011537732.53903,760761893.08791,300315404.546038,706845644.960058,184314106.283295,60744247.1885151,450432269.540402,517644153.226092,205247576.013746,428118986.40622,605511202.177485,193884125.819858,356318820.031484,191257246.055694,2353047.6948383,688073003.321618,475134678.786543,377271483.808054,733167903.3867,457488627.251264,431947567.00823
15,15,19222130208.7238,125026375.628245,1511882214.89216,1051516932.01418,1325951481.95331,3187783386.37127,1221339397.60045,385207874.901548,575993955.244958,302333740.369706,172314814.294351,92278018.6140016,70510933.3680171,226753931.471814,1328441624.57718,178493295.236231,361820864.177544,367623252.18756,842978649.458755,11625425.4830967,809930632.369546,15322954.219441,342900601.791122,62057016.0657337,1021117734.9835,323430119.308481,1314956.01359252,164835491.130213,1400634146.0388,917079447.875429,312039378.389795,112656778.672827,53807142.3468848,120298148.204945,101921762.156639,111323431.558534,16354286.9385401,731466476.374884,60354854.3005348,204362883.862209,99003381.9013142,124593226.673728,624359793.265651,144486901.433036,114479789.410119,636466928.338966,101921762.156639,724732123.504038,473716485.128134,58632259.8522996,195307179.244528,36924203.6665615,96325925.7959066,39300966.2010613,126722206.700695,144764877.382709,236294936.057784,362523869.990196,729978523.582777,556661050.091771,136540419.615008,251494630.92517,106074588.566687,348189796.389462,25725051.1113201,122773905.142647,209497487.529667,6165086.87486292,10521167.5280973,72364599.2724996,258258015.540153,515855.5262159,140920827.131695,134136544.710349,19436622.37977,608338541.779094,432638350.810497,185832485.525412,224878457.679119,337232461.276435,196878805.602823,315553521.64686,186922210.145109,76748612.8751526,32215238.5079342,309592017.780495,108333277.776742,201445688.24736,84181964.2170426,99892541.4593102,178527791.827785,378955585.73228,408691.771123212,448362118.966623,201983511.978381,58152420.7349032,557474457.299715,194096910.800945,59214765.1387954
16,16,32381591458.1527,202568188.846304,1486340096.25246,834518754.180265,1180802763.86881,3639867154.26297,799174288.075424,136710881.939102,140635164.8552,1021810928.94343,140076880.60061,20443435.5381257,118359801.345595,179629199.64146,1811350559.27778,137223111.740378,385493657.87907,689236288.680959,138058169.047996,138082054.225967,115222997.196174,115222997.196174,350908524.672679,426589990.468563,1167770079.06803,58136985.6989827,1959900.36989664,964753367.942648,862719648.39714,1073841940.98932,495842565.146077,621018295.004572,7599081.37159193,187499032.923174,86225093.9197149,33613180.9648602,415400729.133523,881987021.199947,572158026.529755,49320932.1141067,593351571.322856,604832879.32525,493838355.241018,681221533.975657,138998399.262645,287071919.654734,294568055.827718,790923762.985075,450315588.978272,108629904.769751,141875282.859269,443909894.014436,403399768.681783,7865215.37965972,577087892.474643,541118554.302355,521268093.902316,366217360.064577,672153564.564466,906018292.09203,86551218.7413644,205305709.506722,52542071.0475625,487335873.484394,173615531.86512,541446438.601889,352942352.144689,14279365.7050594,23510134.6165082,350252053.015478,223197046.30876,289003.368732344,494482310.961173,429289737.257405,124790294.645553,736597850.487179,132964533.066596,35153422.3125312,105949080.614929,343582962.130336,234800699.09227,321268752.427656,108418773.144696,204273141.372263,675352827.291392,470801803.727006,153089962.876473,284870350.275254,37717999.8969054,143934856.532367,248263527.610825,402893788.76997,810045.339383257,333822320.428663,161781073.115076,89751838.8497108,706091642.627563,155385552.281659,590623304.814505
17,17,16292048846.3901,4441235.07874698,1158109094.56268,968717827.237858,961010386.528414,2065413469.03379,667841732.867534,305748568.453813,306144483.782862,196031627.670982,125277796.350788,118560851.175573,103347587.908568,154518535.554054,942316322.827657,114184931.863711,556786216.063577,823996047.357424,329954794.377098,2307684.86563232,45832967.5763239,402307100.966455,277176964.893692,13253445.8498449,1062803435.94276,119780371.226729,1937540.90366244,104903057.395873,572552533.439588,973026647.77325,334671565.929499,65343825.4220036,66329841.2511906,240087774.257859,275928449.262999,218574627.901095,402307100.966455,795715068.875494,38975874.8907784,103164370.720536,58128081.9601425,72161139.0919111,589084268.267676,105197355.985863,178192023.959674,574764044.241116,139344489.942251,445165311.253539,342102490.134096,53133351.046202,87039700.8961141,96250130.3689871,45384774.3547093,118439714.67617,59801104.9760673,53959282.8885024,120487715.905355,411271199.537405,496881594.32398,97408560.7388782,311620242.625436,115181970.727614,50855175.152952,265396576.461918,4994577.77992282,62925143.3311385,92055826.6125816,10879702.7074044,19057732.5989054,39727292.2917458,134349564.480383,304644.775386492,55312605.7750352,87913534.5508593,4624741.83069075,467430247.252366,121029523.366864,16333505.0864674,77623270.1518335,323788004.94423,136562461.135145,297986564.160553,98020747.5212906,42929185.5094746,93121377.2342726,99389560.2996529,70179735.1883639,142941085.212665,29552138.896865,63547661.4284796,125458987.94957,306786899.316978,646071.345240153,298415673.061367,94765167.548264,59633282.813796,344496942.226769,86974626.1940794,201633388.666244
18,18,24196385619.415,5153163445.44168,2590752857.19275,1237899575.42213,2168045757.41553,5494037467.69441,1006358203.45675,243723959.081174,247135974.839593,421292008.213203,261835699.620559,107165368.359183,143213380.36746,393763499.781162,1335782756.59119,346453448.092071,933407753.789352,1582593674.3416,292525522.716104,35943450.0731645,594361063.723217,43616658.7981358,535416624.233582,1084938618.57469,1711444816.42923,113968153.610946,1040463.27786065,305599892.215406,1185188438.88979,1546120529.41377,369697435.289757,167156883.273396,64777386.2969286,89639505.1047275,79245931.2995715,5613373.66015553,289863060.93772,1294578024.57621,414667619.208232,91588294.5780042,133282452.422835,180318640.007323,495050243.42166,329493134.969959,74354299.2211116,418774108.394054,46976785.9968695,544356163.85695,718988185.474168,24370030.7995678,1185188438.88979,321120896.22547,528958655.089893,4659550.02504,167768324.262209,170603018.956282,335196018.89458,319284336.488584,768522161.532928,150339188.368446,64074461.0871756,823003653.417405,31285247.5885832,420228145.987931,452646744.766406,164351472.53026,147561801.502908,8523671.77689684,39918278.6078591,100239845.98808,496827111.597771,345154.505917192,113046182.314547,229312192.815952,331920422.572024,962304667.411645,138239595.146436,276355435.794234,189648407.783115,476576194.450575,183228976.264641,465162893.8981,157219837.244598,146450476.860389,680614457.144268,307205103.517898,92655955.5384963,512510798.270819,72046005.4858792,85488364.6555701,475056781.066375,483936378.549148,3199108.27704605,451960680.333168,560039142.041858,363274812.132915,639299417.951216,540545861.095466,251147665.557235
19,19,11718979469.395,2645666588.10283,2363449346.10634,1452328766.30877,1983959944.12472,5033036873.66143,2176881224.43191,227246724.072924,230218587.743059,539536079.422065,257434800.336838,124905375.378133,120099552.884594,304340068.822311,2307202416.23272,252403293.867792,382361860.355216,958512974.276002,311878267.326616,646250.703466802,589168512.849543,80901997.6734813,552866378.206835,60500394.7709977,2451135779.70982,318902515.493332,671652.452269088,284104759.333104,1416108908.88044,2292566430.50637,397313676.595132,168753763.878381,72161100.4172959,428820284.382571,441283318.983437,1925444.46288158,340104364.412408,1896295038.36513,440219553.296703,67752213.487192,148849511.152674,194517662.809505,1950460737.17094,298782962.372492,80596043.6895699,334762004.381553,88913735.8256907,1595099840.42309,933098252.15625,20291596.3635817,199260400.522503,323124873.692496,513892401.932052,836184.729786004,128620024.708172,201915663.803656,326003594.638792,1377755814.02214,1280369608.68333,1038553252.5453,134689735.924012,614860692.809288,84543532.627895,361622508.82104,25793156.8807358,134748747.823986,418274935.7951,5682614.14143281,16904220.3843667,104861165.085785,659287705.804727,367110.928658616,139484711.520104,210734045.233833,20449451.0720873,733981787.227413,477453617.888525,220208560.116409,314200292.150325,668549600.879036,233540252.35106,616683297.172304,257750819.366435,128032075.253247,602468838.479588,520109778.703207,51142851.2325984,336360043.273337,206183453.677582,47459045.9442752,309653978.767485,212972462.609882,2829776.95856227,691248243.136024,445579258.569652,421193257.099792,746254536.859517,428848089.52455,215293715.731471
20,20,17925067230.4546,4775945.94307037,1215176253.86292,557741536.734948,1039761256.1319,1509354005.35733,781962064.283319,266365789.114493,266080932.837354,1260303977.67033,92210283.0192955,47846860.9759831,37902323.0813845,234391797.044305,980048893.338052,169681702.311754,323442381.211501,315091471.776258,363984744.622318,176508106.5373,17959232.3825672,228282660.508127,277137276.913017,288102289.060468,1270951733.22346,107478796.886132,2873295.05268323,764201078.07068,573722991.68769,1168619707.42357,392406772.120306,464392449.699515,27618978.5765779,396714032.181865,16789228.2026663,26565540.5117466,228282660.508127,988953727.486653,248109684.627051,119203887.815771,410288891.280328,483793484.401059,593811954.71777,551487418.541945,176498292.915896,399660155.708789,168033200.064158,404352028.594132,277751921.044382,87237536.7458032,573722991.68769,228282660.508127,281536858.418881,4401934.55849173,335608675.137187,243068675.58333,751569582.30341,402466515.011067,444485258.461983,274085496.089659,119940529.803248,119080878.162932,20370750.0074097,500704682.004742,117665665.35754,338876315.700018,233625579.745385,10628183.6502581,17636894.4683787,258879394.046673,151191156.004209,479724.117701546,274798356.732591,359004234.039636,98202910.0476392,378818601.64661,68711913.0674602,69511524.7543497,50047750.5823874,347073735.557719,123829799.998544,320384527.073505,130999292.876107,141468769.196209,67016883.3949826,157875526.359513,121296434.839536,175544826.282269,23572979.2396659,115075176.994957,142525845.547961,368327680.462449,783713.38646221,276716863.840036,99608950.2700696,80048211.0184591,346730346.089489,93713124.9353942,118720464.500628
21,21,12788935001.0483,111397368.289651,1738532893.71681,871605540.509727,1352438648.55423,3633104043.51703,507197365.133636,125854881.640008,128462595.389744,213044223.460737,86488342.2552245,149760734.516508,4601850.28342371,180747072.445045,1043629782.53898,150625414.755108,321857116.303137,1189076067.25838,324893887.892673,15848972.8537946,143059901.101345,18006481.7432608,429709015.893966,274991774.382044,1217438567.04077,60750348.1535228,3162728.73871367,109550661.586078,731818534.990892,1087341256.66044,80254635.9725484,67430366.393034,73122848.4212838,344362301.305878,205815258.763048,3472911.4527881,19264110.2424366,898675544.133536,407644615.2389,33194577.8667652,59130595.1791709,73501990.4868352,437442271.819141,136777587.353109,48545757.4891332,455912629.307299,54680963.4392643,365972901.390403,435255185.582088,22425646.5330726,106289462.652779,305558618.772981,210420783.32215,2231388.86486393,63169300.2989947,64196953.2291898,120931687.71434,307163688.130772,630002945.614833,511027535.565425,6576129.14573767,298026146.54664,23611019.997499,508892412.488525,120854409.978803,60229433.4761127,229060835.230805,3413300.46896042,69238403.9041303,38545958.6900982,259892931.280465,232853.46648178,50235302.5074947,80119410.1191717,75689740.7877655,713806695.064303,91708182.7292883,158031532.113554,131863681.725555,379711212.155663,120468089.800632,354752247.399548,87361277.2098867,52748295.8241071,548940453.804474,205107273.711527,56267084.0779661,144862937.84489,73218518.0171997,52476281.7525743,128409579.909368,213855324.060734,15562963.6326331,329214258.318845,237014263.550385,195723037.399501,371584785.961876,220730795.31228,166865592.895085
22,22,32854047927.0188,7783480774.94224,2340589601.94949,1751631302.21756,355101693.124486,5919629705.66396,2158798596.35739,186414061.747737,191237032.990993,786071385.411998,385209811.068918,139220855.394069,232354793.51926,118557395.405102,1993921497.57835,72229056.8956845,1091563608.57568,2432749695.99738,338547876.304423,63462327.2602555,13630641.2974243,278295036.960795,544215266.746345,206321200.1943,2156087803.0298,338041385.421402,1406269.1122304,501437961.684587,1452776750.07055,1938073709.83782,388100797.16145,276432383.077288,78042627.1202274,423135537.467355,433350325.798523,15563635.9516537,347853662.273003,1642818096.03669,3994633.19958073,46614872.9707389,232716768.558726,349893631.102162,443408842.130121,440903632.260462,241519558.740977,281621666.502944,339125454.733387,1236188642.09149,1008625394.41121,115471062.484584,1452776750.07055,3591363.43863952,229791443.222711,13664215.9025474,255254636.390309,205099539.591439,583142372.763571,227265726.416803,963973132.091671,863433642.330828,58260771.8946659,896280119.998767,62928698.607034,606696566.340547,79490983.2451887,310263542.511766,874389099.20711,14490120.9032772,44863392.9063988,175390330.538336,610123822.726288,334254.779198343,240126717.19301,222597216.634379,70805286.3495041,970802883.615594,422285972.256603,400232551.413908,470707385.915715,585930298.205825,283833453.78703,577605802.306139,175597191.411516,178453964.982363,923760229.81413,493691439.853422,297724439.475959,676332475.265997,240711396.077757,282086729.574519,642774145.308455,331004637.938103,6956394.69570437,823924545.200096,586211153.440043,809113533.365888,733556470.720382,559865475.398744,364913295.968767
23,23,13280715509.9771,2084231876.69414,1229983339.6936,1009253606.99889,972503032.607843,2434823191.04696,895053186.533613,77814571.8254751,80799064.7099723,57653118.7669224,157151520.049377,151587997.598848,124876719.608296,172578954.86136,1054244408.31687,139168715.833538,276080016.362639,959118341.515062,315517378.460582,4862674.44730157,638921761.447158,214322765.624982,301823860.814663,116488515.422625,1602081415.65045,115679544.548422,2364458.4137491,71850670.3772767,563652040.024235,1458036137.22949,373476001.233821,33042717.9643149,89740617.3815331,373192093.271204,398080092.695663,74898249.8131282,352737585.115912,1214188861.68119,450973958.382259,77239467.2744692,24061758.1312285,44776732.1602911,151779763.271509,68867627.5179769,204166512.803584,500082799.662527,67060011.024774,502074270.40352,429857733.859414,22022327.8043485,95036874.2029167,335017550.093017,114737151.169256,17011641.7360231,40816793.3455794,39735796.4839049,75069411.7802099,103762651.485051,575174488.314697,910865173.634649,51813469.0893366,216394909.815274,33257955.3759972,204528939.91907,44226192.9395876,45677592.4191064,902274547.273909,2416364.06818306,93887438.702453,26929382.4994404,234604451.729257,240188.129984531,31658095.8639753,42757675.2468101,43677430.2884045,560236710.515042,216492617.372662,130834900.04534,261431561.349849,461460268.884586,85926130.4132939,431684612.539557,91686515.7670603,31132150.8634994,603333357.294184,180527949.185731,80812474.582601,219320792.861254,89656292.7247068,74588473.9577746,54410459.6443227,308532853.721097,1188026.65539334,196605955.600687,173305137.253539,327682083.809499,425189326.225482,156651143.470062,86943638.0908878
24,24,14878317618.919,90239143.4310726,1299432632.33544,877885380.932709,268032874.751249,2247070634.30489,963510378.9248,350953400.493771,506672885.875337,293735919.534302,148308462.536981,143706634.432837,3872817.72491137,190101751.724936,1125095883.89956,148235993.681345,567036501.820868,589036663.214595,344613007.145295,69930910.488382,446786534.543535,240207120.839289,305909879.666532,66118077.9652909,1031428658.41666,245354546.476343,1884500.06656759,199757283.406292,901730736.724177,924270052.058297,106548346.493379,114997816.566457,91775499.0551091,86839030.9102625,67790695.092292,191513371.546769,104326142.430625,774149794.422241,274226462.661019,160714011.282278,97820690.0849999,103363511.242359,195344800.039402,193785799.739565,121512988.905768,418843422.751158,203772587.865681,452573568.68829,333541306.642003,54800662.8622782,159123051.748235,250392437.67592,96641859.6179483,104912273.936476,155857826.496429,129875200.246359,234900210.55267,33523609.3148556,558415242.703091,557893183.505184,259231122.942255,155842115.872148,81384720.6907713,248996635.848448,25173282.1951191,111828633.24422,189735250.976654,10746073.0213801,12902882.0429111,60628143.9479114,191482670.257862,229229.847186708,95576125.152742,151030550.696275,22342634.2633696,510550665.222004,284226433.540591,123656146.314568,200291697.761383,305225852.8024,147178028.672425,283843333.318994,130838995.034155,80237306.9060401,629275605.15276,175900109.034516,70707904.1224568,148732754.86785,78192546.8125362,63490053.8401396,129661846.917304,138192117.233274,482360.52815323,293487718.35313,129822804.077111,52259592.5263523,376610082.592533,121951959.458402,197132023.189258
25,25,14743615286.8589,1692621536.8091,2174167541.3897,1023429803.13481,1642215134.4535,4389417549.43533,796830875.555037,135463487.903201,142671405.098145,759904900.640749,226504531.497193,109738427.088145,105066660.613022,236677500.079748,1351291263.61528,192100068.679937,519818618.259175,1482222019.13838,701195608.545499,688102354.0198,679463599.540468,679463599.540468,602638763.270254,501563340.388786,1574731512.91775,186828306.866412,2480614.41415858,436469894.229063,630353636.920402,1485824613.91014,23659565.1450186,210968108.46401,64158843.375038,77842402.5353749,65924422.9372932,22193570.208915,319687220.393468,1230322122.74225,495914915.368437,50982450.1102015,194922281.233399,241461904.072189,311867685.177625,448025850.719591,128617991.246819,506215991.000667,202042108.746673,454335121.607064,696027999.258333,20898388.2949111,133902250.695128,18614602.5229502,754436233.116027,15423049.9290746,245958458.613058,220461650.285278,420692950.537573,204922228.354622,762553666.772606,754174604.224321,99232698.788611,476687778.711487,31981246.6171695,624612283.183138,197116706.450045,196611632.050072,267473410.479989,5933303.34289499,77055347.2040514,139017774.339722,342430392.273884,290129.983759925,168701086.949831,289353228.999437,162906311.984178,794284611.482462,93199017.9210756,280320176.122472,80421214.2354844,414179856.214329,179851797.41104,385569723.689148,106340149.462583,122127471.705309,567166536.785657,367273446.997627,113900943.5183,265701415.415766,53546308.7311127,105743550.408558,221129765.200632,335473957.150439,3655528.77579173,433281864.085706,358473633.058425,282412113.790736,515672438.25069,339754156.550919,274978735.317387
26,26,24401866908.5928,5442559806.91819,2117418093.88634,965722899.551137,1683164200.98657,5117593174.32224,464484277.461843,224967004.248235,228570627.437969,991871568.337618,209573197.912479,99269681.3253113,99346481.032538,332390539.63893,1325485042.8037,299018659.345801,755863450.195531,1292508166.23599,333382570.655824,170355236.992149,680069031.29621,150646927.267986,512790235.339892,1223775452.47477,1543713902.1933,230400790.147872,1279727.92471586,543375774.41108,1092394006.98283,1381602307.01798,411433851.179342,268747964.970245,57854245.3253944,448611898.173999,150646927.267986,8083935.64360491,17688519.6893433,1153379589.14933,38840038.9230843,75927289.4798102,224995079.574784,341266201.775587,616670163.122429,564371216.447919,176194111.515308,508827845.229174,150646927.267986,451563876.275181,624737624.749587,28190194.7427088,1092394006.98283,16092368.7093402,920441055.752185,6375527.37600378,264322495.759802,315318085.917611,612277752.771385,445517756.707314,684546533.538977,465536825.201652,10799716.1310763,612068638.171196,23802522.4974007,401040469.833538,529612377.740648,256288642.504778,113643192.495061,7255259.92934874,74566397.0542463,154127358.810928,349402147.232277,364179.18482397,229569657.403839,325891434.238054,388058508.643476,1023343398.77271,74062132.5593562,200228886.419867,121675543.698019,466486586.889284,153346599.485618,431882737.765884,119601133.552599,261296477.322677,81244201.7370085,273908007.071925,94691644.1203273,362802146.647222,49689501.5989808,88406316.24706,345014418.975035,501632853.088607,3195088.55937637,250969111.129782,455181475.601066,323487976.209634,641585786.581124,437569610.858625,225704691.308497
27,27,11552969212.2648,2354422595.86203,3235274553.23234,2024819588.59934,2631426511.80682,6477198493.45422,2547286130.40972,225411002.672405,232058988.892694,911893074.922113,327899781.940223,313572387.531324,63488639.2574156,301168690.064006,2313688160.64626,261151609.850621,219733207.548375,1628557599.37223,335550775.177713,61877973.7615774,760706917.930015,147918953.591388,719043372.193676,120549686.439267,2871155119.74241,324431930.151358,2120672.77877446,529767815.356957,1013460457.04505,2435409603.10996,302140793.56862,285817434.362941,212698436.095706,82487676.643233,61985153.9349964,13043409.1081838,285822152.790793,2017539375.56982,65394869.302827,64153451.775902,253522068.100047,315195587.096508,1561168943.0228,451177419.693861,140332495.009712,754700503.139152,169140494.001078,1509875314.89825,1173076854.85345,106096668.905311,1013460457.04505,313332392.708986,279590325.817541,10454356.9610982,340107620.409613,199269552.498344,555503159.236465,765105449.87692,1186642965.92454,1349661408.24559,78147910.5326977,1258131621.16217,145896164.32539,855708688.288243,45239300.520795,305547951.368887,635112832.607406,52472735.2045573,23720155.3999174,192514892.077819,1007230588.22421,563629.964014409,175783337.467395,252404706.720443,38045094.13046,829202641.525298,860122836.542425,581875277.037291,650109339.064591,981245647.268009,293027837.858546,929550296.82448,180696566.733252,186209637.129795,60901426.3919618,694599877.249849,90452337.3704361,351496097.620111,249989745.618614,83661696.3882551,284420775.128668,216670963.31431,2434043.77483065,659180635.899712,814842549.630675,381318058.941785,794492873.759318,786687889.159944,469164032.797564
